instruction,input,output,text
법무부에서는 어떤 기준으로 소송지휘를 구분하고 있는지 알려줘,,"법무부에서의 소송지휘 구분 방법은 다음과 같습니다:
행정소송: 행정청의 장이 관여하는 경우에 해당합니다. 이는 구단, 구합 등의 사건에 해당합니다.
민사소송: 지방자치단체가 관여하는 경우에 해당하지 않습니다. 이는 가단, 가합 등의 사건에 해당합니다.
국가소송: 대한민국이 당사자로 관여하는 경우에 해당합니다. 국가소송의 경우 소송지휘가 엄격하게 이루어집니다.
소송의 종류에 따라 법무부에서는 이와 같은 구분 방법을 사용하여 소송지휘를 결정합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
법무부에서는 어떤 기준으로 소송지휘를 구분하고 있는지 알려줘
### Response:
법무부에서의 소송지휘 구분 방법은 다음과 같습니다:
행정소송: 행정청의 장이 관여하는 경우에 해당합니다. 이는 구단, 구합 등의 사건에 해당합니다.
민사소송: 지방자치단체가 관여하는 경우에 해당하지 않습니다. 이는 가단, 가합 등의 사건에 해당합니다.
국가소송: 대한민국이 당사자로 관여하는 경우에 해당합니다. 국가소송의 경우 소송지휘가 엄격하게 이루어집니다.
소송의 종류에 따라 법무부에서는 이와 같은 구분 방법을 사용하여 소송지휘를 결정합니다."
행정소송에서 법무부장관의 지휘권이 필요한 이유는 무엇인지 알려줘,,"행정소송에서 법무부장관의 지휘권이 필요한 이유는 다음과 같습니다:
행정의 전국적 통일성 확보: 법무부장관의 지휘를 통해 행정소송의 수행이 전국적으로 통일되고 일관성을 가지게 됩니다. 이는 행정의 효율성을 높이고 공정한 절차를 보장하는 데 도움이 됩니다.
소송수행과 관련한 법률적 지원: 법무부장관은 법률 전문가로서 소송수행과 관련한 법률적인 지원을 제공할 수 있습니다. 이는 행정청의 소송수행자 및 관련 직원들에게 필요한 법률적 지식과 지침을 제공하여 소송 절차를 원활하게 진행할 수 있도록 돕는 역할을 합니다.
이와 같은 이유로 법무부장관의 행정소송 지휘권이 필요하며, 이를 통해 행정소송의 효율성과 공정성을 확보할 수 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
행정소송에서 법무부장관의 지휘권이 필요한 이유는 무엇인지 알려줘
### Response:
행정소송에서 법무부장관의 지휘권이 필요한 이유는 다음과 같습니다:
행정의 전국적 통일성 확보: 법무부장관의 지휘를 통해 행정소송의 수행이 전국적으로 통일되고 일관성을 가지게 됩니다. 이는 행정의 효율성을 높이고 공정한 절차를 보장하는 데 도움이 됩니다.
소송수행과 관련한 법률적 지원: 법무부장관은 법률 전문가로서 소송수행과 관련한 법률적인 지원을 제공할 수 있습니다. 이는 행정청의 소송수행자 및 관련 직원들에게 필요한 법률적 지식과 지침을 제공하여 소송 절차를 원활하게 진행할 수 있도록 돕는 역할을 합니다.
이와 같은 이유로 법무부장관의 행정소송 지휘권이 필요하며, 이를 통해 행정소송의 효율성과 공정성을 확보할 수 있습니다."
소장 제출에 필요한 서류는 어떤 것들인가요,,"소장 제출 시 소장(부본), 입증서류, 첨부서류, 송달료납부서 등을 첨부하여 제출합니다. 필요한 경우 해당 서류를 제출하면 됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소장 제출에 필요한 서류는 어떤 것들인가요
### Response:
소장 제출 시 소장(부본), 입증서류, 첨부서류, 송달료납부서 등을 첨부하여 제출합니다. 필요한 경우 해당 서류를 제출하면 됩니다."
송달료는 어떻게 납부하나요,,"달료는 미리 납부하여야 합니다. 송달료를 납부하기 위해서는 수납은행에 송달료를 납부하고, 그에 대한 송달료납부서와 사건번호등록표를 소장에 첨부하여 법원에 제출하면 됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
송달료는 어떻게 납부하나요
### Response:
달료는 미리 납부하여야 합니다. 송달료를 납부하기 위해서는 수납은행에 송달료를 납부하고, 그에 대한 송달료납부서와 사건번호등록표를 소장에 첨부하여 법원에 제출하면 됩니다."
소장 제출은 어디서 해야 하나요,,"관할법원을 확인한 후 해당 법원에 소장을 제출해야 합니다. 행정소송의 경우 우리 지역의 1심법원이 대전지방법원이며, 다만 다수 지자체의 경우 원?피고 시 관할이 다를 수 있습니다. 민사소송의 경우 피고의 주소지가 원칙적으로 중요하지만, 예외 규정에 따라 다른 주소지도 가능합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소장 제출은 어디서 해야 하나요
### Response:
관할법원을 확인한 후 해당 법원에 소장을 제출해야 합니다. 행정소송의 경우 우리 지역의 1심법원이 대전지방법원이며, 다만 다수 지자체의 경우 원?피고 시 관할이 다를 수 있습니다. 민사소송의 경우 피고의 주소지가 원칙적으로 중요하지만, 예외 규정에 따라 다른 주소지도 가능합니다."
답변서란 무엇인가요?,,"답변서는 원고가 제기한 소송에 대해 피고가 작성하는 최초의 서면으로, 청구취지에 대한 답변과 청구원인에 대한 답변으로 구성됩니다. 이는 원고의 주장을 거부하거나 방어하기 위해 작성되며, 방어적인 취지를 고려하여 작성되어야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
답변서란 무엇인가요?
### Response:
답변서는 원고가 제기한 소송에 대해 피고가 작성하는 최초의 서면으로, 청구취지에 대한 답변과 청구원인에 대한 답변으로 구성됩니다. 이는 원고의 주장을 거부하거나 방어하기 위해 작성되며, 방어적인 취지를 고려하여 작성되어야 합니다."
답변서는 언제 작성하나요?,,"답변서는 소장부본 송달일로부터 30일 이내에 작성하여 제출해야 합니다. 만약 기한 내에 작성하기 어려운 경우, '제출기한연장신청'을 통해 추가 시간을 확보할 수 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
답변서는 언제 작성하나요?
### Response:
답변서는 소장부본 송달일로부터 30일 이내에 작성하여 제출해야 합니다. 만약 기한 내에 작성하기 어려운 경우, '제출기한연장신청'을 통해 추가 시간을 확보할 수 있습니다."
준비서면이란 무엇인가요?,,"준비서면은 당사자가 변론에서 진술하고자 하는 내용을 미리 기재하는 서면을 말합니다. 이는 상대방의 준비서면, 증거자료 등에 대한 반박 내용 또는 새로운 주장 및 증거자료를 포함하여 제출되어야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
준비서면이란 무엇인가요?
### Response:
준비서면은 당사자가 변론에서 진술하고자 하는 내용을 미리 기재하는 서면을 말합니다. 이는 상대방의 준비서면, 증거자료 등에 대한 반박 내용 또는 새로운 주장 및 증거자료를 포함하여 제출되어야 합니다."
주장책임과 입증책임이란 무엇인가요,,주장책임은 당사자가 특정 사실을 주장하지 않을 경우에 생기는 불이익을 말합니다. 입증책임은 특정 사실에 대한 진위 여부를 입증하지 못하여 당사자가 받을 수 있는 위험이나 불이익을 의미합니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
주장책임과 입증책임이란 무엇인가요
### Response:
주장책임은 당사자가 특정 사실을 주장하지 않을 경우에 생기는 불이익을 말합니다. 입증책임은 특정 사실에 대한 진위 여부를 입증하지 못하여 당사자가 받을 수 있는 위험이나 불이익을 의미합니다."
주장과 입증책임은 어떤 관계가 있나요?,,"주장방식과 입증책임은 긴밀하게 연관되어 있습니다. 주장자는 특정 사실에 대한 입증책임을 갖게 되며, 부인, 부지, 침묵, 자백, 항변 등의 방식으로 주장과 입증책임을 다루게 됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
주장과 입증책임은 어떤 관계가 있나요?
### Response:
주장방식과 입증책임은 긴밀하게 연관되어 있습니다. 주장자는 특정 사실에 대한 입증책임을 갖게 되며, 부인, 부지, 침묵, 자백, 항변 등의 방식으로 주장과 입증책임을 다루게 됩니다."
주장방식에는 어떤 종류가 있나요?,,"주장방식에는 부인, 부지, 침묵, 자백, 항변 등이 있습니다. 부인은 상대방의 주장사실을 부정하는 것을 말하며, 부지는 자신이 상대방의 주장사실을 알지 못한다고 진술하는 것을 의미합니다. 침묵은 주장사실을 명백히 다투지 않는 것을 말하며, 자백은 상대방의 주장사실을 인정하는 것을 의미합니다. 항변은 주장사실을 인정하되, 이를 배척하기 위해 별개의 사실을 주장하는 방식을 나타냅니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
주장방식에는 어떤 종류가 있나요?
### Response:
주장방식에는 부인, 부지, 침묵, 자백, 항변 등이 있습니다. 부인은 상대방의 주장사실을 부정하는 것을 말하며, 부지는 자신이 상대방의 주장사실을 알지 못한다고 진술하는 것을 의미합니다. 침묵은 주장사실을 명백히 다투지 않는 것을 말하며, 자백은 상대방의 주장사실을 인정하는 것을 의미합니다. 항변은 주장사실을 인정하되, 이를 배척하기 위해 별개의 사실을 주장하는 방식을 나타냅니다."
입증책임 소멸이란 무엇인가요?,,"입증책임 소멸은 주장자가 상대방의 주장사실을 인정하는 것으로, 이 경우 입증책임이 해소되며 상대방이 해당 사실을 입증해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
입증책임 소멸이란 무엇인가요?
### Response:
입증책임 소멸은 주장자가 상대방의 주장사실을 인정하는 것으로, 이 경우 입증책임이 해소되며 상대방이 해당 사실을 입증해야 합니다."
서면 제출의 효과에는 어떤 것들이 있나요?,,"서면 제출의 효과에는 다음과 같은 점들이 있습니다.
진술간주: 변론기일에 출석하지 않아도 제출된 서면 내용을 기반으로 진술한 것으로 간주됩니다. 준비서면을 제출한 경우, 변론기일에 결석하거나 출석하여 본안변론을 하지 않아도 서면에 기재된 내용을 진술한 것으로 간주됩니다.
소 취하시: 서면이 제출된 후 원고가 소를 취하하려면 피고의 동의를 얻어야 합니다. 이는 민사소송법 제266조에서 규정하고 있습니다.
변론기일 제약: 서면에 기재하지 않은 사항은 상대방이 변론기일에 출석하지 않았을 때에도 변론에서 주장할 수 없습니다. 민사소송법 제276조에 따라 답변서나 준비서면에 적지 않은 모든 주장, 사실, 증거를 서면에 포함시켜야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
서면 제출의 효과에는 어떤 것들이 있나요?
### Response:
서면 제출의 효과에는 다음과 같은 점들이 있습니다.
진술간주: 변론기일에 출석하지 않아도 제출된 서면 내용을 기반으로 진술한 것으로 간주됩니다. 준비서면을 제출한 경우, 변론기일에 결석하거나 출석하여 본안변론을 하지 않아도 서면에 기재된 내용을 진술한 것으로 간주됩니다.
소 취하시: 서면이 제출된 후 원고가 소를 취하하려면 피고의 동의를 얻어야 합니다. 이는 민사소송법 제266조에서 규정하고 있습니다.
변론기일 제약: 서면에 기재하지 않은 사항은 상대방이 변론기일에 출석하지 않았을 때에도 변론에서 주장할 수 없습니다. 민사소송법 제276조에 따라 답변서나 준비서면에 적지 않은 모든 주장, 사실, 증거를 서면에 포함시켜야 합니다."
서면 작성 시 어떤 유의사항들을 고려해야 하나요?,,"서면 작성 시 아래의 유의사항을 고려해야 합니다.
시간적 고려: 변론기일 당일에 제출하는 것을 피하고, 적어도 7일 전에 서면을 제출하는 것이 좋습니다.
서식 및 작성 방법: 적절한 서식을 사용하고, 글꼴은 휴먼명조나 신명조를 크기 12 250으로 설정해야 합니다.
항목 구분: 서면 내용을 작성할 때 1. 가. 1) 가) (1) (가) ? ㉮와 같이 항목을 구분하여 작성해야 합니다
서술 형식 사용: 서면 내용은 서술 형식은 함이나 ~하였음과 같은 형태는 사용하지 않아야 합니다.
증거 활용: 증거자료를 활용하는 방법에 유의해야 합니다. 이미 상대방이 제출한 증거를 재제출할 수 없으며, 증거 번호도 적절히 붙여야 합니다.
외국어 표기: 외국어는 한글로 표기하되 한글 뒤에 외국어로 표기한 내용을 괄호 안에 명시해야 합니다.
판례 인용: 관련된 판례를 인용할 때에는 (대)법원은 이와 비슷한 사례에서 ~ 라고 판단하고 있습니다.와 같이 인용해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
서면 작성 시 어떤 유의사항들을 고려해야 하나요?
### Response:
서면 작성 시 아래의 유의사항을 고려해야 합니다.
시간적 고려: 변론기일 당일에 제출하는 것을 피하고, 적어도 7일 전에 서면을 제출하는 것이 좋습니다.
서식 및 작성 방법: 적절한 서식을 사용하고, 글꼴은 휴먼명조나 신명조를 크기 12 250으로 설정해야 합니다.
항목 구분: 서면 내용을 작성할 때 1. 가. 1) 가) (1) (가) ? ㉮와 같이 항목을 구분하여 작성해야 합니다
서술 형식 사용: 서면 내용은 서술 형식은 함이나 ~하였음과 같은 형태는 사용하지 않아야 합니다.
증거 활용: 증거자료를 활용하는 방법에 유의해야 합니다. 이미 상대방이 제출한 증거를 재제출할 수 없으며, 증거 번호도 적절히 붙여야 합니다.
외국어 표기: 외국어는 한글로 표기하되 한글 뒤에 외국어로 표기한 내용을 괄호 안에 명시해야 합니다.
판례 인용: 관련된 판례를 인용할 때에는 (대)법원은 이와 비슷한 사례에서 ~ 라고 판단하고 있습니다.와 같이 인용해야 합니다."
입증방법이란 무엇인지 알려줘,,입증방법은 입증책임 부담자가 법원에 특정 사실의 존부를 확신시키기 위해 제시하는 자료를 말합니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
입증방법이란 무엇인지 알려줘
### Response:
입증방법은 입증책임 부담자가 법원에 특정 사실의 존부를 확신시키기 위해 제시하는 자료를 말합니다."
어떤 종류의 입증방법(증거조사)이 있는지 알려줘,,"다양한 입증방법(증거조사)이 있습니다. 이 중에서는 서증, 증인신문, 사실조회, 검증, 감정, 당사자신문 등이 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
어떤 종류의 입증방법(증거조사)이 있는지 알려줘
### Response:
다양한 입증방법(증거조사)이 있습니다. 이 중에서는 서증, 증인신문, 사실조회, 검증, 감정, 당사자신문 등이 있습니다."
증거신청은 어떤 방법으로 할 수 있는지 알려줘,,"증거신청은 서면 또는 구두로 할 수 있습니다. 증거신청서에는 입증할 사항, 특정 증거방법, 증명 취지를 구체적으로 밝혀야 합니다. 단, 증인신문, 사실조회, 감정신청은 법원의 허가를 받아야 가능합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
증거신청은 어떤 방법으로 할 수 있는지 알려줘
### Response:
증거신청은 서면 또는 구두로 할 수 있습니다. 증거신청서에는 입증할 사항, 특정 증거방법, 증명 취지를 구체적으로 밝혀야 합니다. 단, 증인신문, 사실조회, 감정신청은 법원의 허가를 받아야 가능합니다."
서증은 어떤 방식으로 이루어지는지 알려줘,,"서증은 소지한 문서를 법원에 직접 제출해야 합니다. 제출 시에는 호증번호를 붙여야 하며, 원본, 정본, 인증이 있는 등본으로 제출해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
서증은 어떤 방식으로 이루어지는지 알려줘
### Response:
서증은 소지한 문서를 법원에 직접 제출해야 합니다. 제출 시에는 호증번호를 붙여야 하며, 원본, 정본, 인증이 있는 등본으로 제출해야 합니다."
증인신문은 어떻게 진행되는지 알려줘,,"증인신문은 주신문, 반대신문, 재주신문, 재반대신문의 순서로 진행됩니다. 주신문은 신청자가 먼저 진술하는 신문이며, 반대신문은 상대방이 주신문 내용에 대해 질문합니다. 주신문과 관련 없는 질문은 허가를 받아야 하며, 유도 신문과 추측을 묻는 질문은 가능합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
증인신문은 어떻게 진행되는지 알려줘
### Response:
증인신문은 주신문, 반대신문, 재주신문, 재반대신문의 순서로 진행됩니다. 주신문은 신청자가 먼저 진술하는 신문이며, 반대신문은 상대방이 주신문 내용에 대해 질문합니다. 주신문과 관련 없는 질문은 허가를 받아야 하며, 유도 신문과 추측을 묻는 질문은 가능합니다."
사실조회는 어떤 과정으로 이루어지는지 알려줘,,"사실조회는 제3자에게 필요한 조사나 문서 등의 송부를 촉탁하는 절차입니다. 사실조회신청서를 제출한 후 법원의 허가를 받아서 진행하며, 회신 결과를 법원으로 받아와 등사신청을 하여 부본을 확보해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
사실조회는 어떤 과정으로 이루어지는지 알려줘
### Response:
사실조회는 제3자에게 필요한 조사나 문서 등의 송부를 촉탁하는 절차입니다. 사실조회신청서를 제출한 후 법원의 허가를 받아서 진행하며, 회신 결과를 법원으로 받아와 등사신청을 하여 부본을 확보해야 합니다."
감정과 검증은 무엇이며 어떻게 진행되는지 알려줘,,"감정은 전문가를 통해 증거조사를 실시하여 결과를 법원에 보고하는 방법입니다. 검증은 법관이 직접 자신의 관찰을 통해 사물의 성상이나 현상을 보고, 듣고, 느낀 인식을 증거자료로 하는 방법입니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
감정과 검증은 무엇이며 어떻게 진행되는지 알려줘
### Response:
감정은 전문가를 통해 증거조사를 실시하여 결과를 법원에 보고하는 방법입니다. 검증은 법관이 직접 자신의 관찰을 통해 사물의 성상이나 현상을 보고, 듣고, 느낀 인식을 증거자료로 하는 방법입니다."
당사자신문은 어떤 방식으로 이루어지는지 알려줘,,"당사자신문은 당사자 본인을 신문하는 증거조사 방법으로, 증인신문과 동일한 절차로 진행됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
당사자신문은 어떤 방식으로 이루어지는지 알려줘
### Response:
당사자신문은 당사자 본인을 신문하는 증거조사 방법으로, 증인신문과 동일한 절차로 진행됩니다."
변론기일이 무엇인지 알려줘,,변론기일은 법정주의에 따라 법원에 제출한 서면 등을 법정에 출석하여 직접 구두로 진술하는 기일을 말합니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
변론기일이 무엇인지 알려줘
### Response:
변론기일은 법정주의에 따라 법원에 제출한 서면 등을 법정에 출석하여 직접 구두로 진술하는 기일을 말합니다."
변론기일의 해태란 무엇인지 알려줘,,"변론기일의 해태는 적법한 기일통지를 받았음에도 불구하고 변론기일에 불출석하거나 출석하여도 변론을 하지 않는 상황을 말합니다. 이로 인해 패소할 수 있으므로 주의가 필요하며, 서면을 제출하지 않고 변론기일에 출석하지 않으면 상대방의 주장을 자백한 것으로 간주되므로 주의해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
변론기일의 해태란 무엇인지 알려줘
### Response:
변론기일의 해태는 적법한 기일통지를 받았음에도 불구하고 변론기일에 불출석하거나 출석하여도 변론을 하지 않는 상황을 말합니다. 이로 인해 패소할 수 있으므로 주의가 필요하며, 서면을 제출하지 않고 변론기일에 출석하지 않으면 상대방의 주장을 자백한 것으로 간주되므로 주의해야 합니다."
법정에서의 예절은 어떻게 지켜야 하는지 알려줘,,"법정에 참석하는 경우, 단정한 복장을 갖추고 공손한 태도를 유지해야 합니다. 또한 소장, 답변서, 증거자료 등 소송서류를 반드시 지참하고 출석해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
법정에서의 예절은 어떻게 지켜야 하는지 알려줘
### Response:
법정에 참석하는 경우, 단정한 복장을 갖추고 공손한 태도를 유지해야 합니다. 또한 소장, 답변서, 증거자료 등 소송서류를 반드시 지참하고 출석해야 합니다."
변론기일에 대한 준비 요령은 어떻게 되는지 알려줘,,"변론기일이 열리는 시간과 장소를 확인하고, 지정된 순서에 따라 진행됩니다. 변론석에 서서 소송수행자(소송대리인)의 신분을 알리고 주장사실을 진술하거나 재판장의 질의에 답변하는 것이 중요합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
변론기일에 대한 준비 요령은 어떻게 되는지 알려줘
### Response:
변론기일이 열리는 시간과 장소를 확인하고, 지정된 순서에 따라 진행됩니다. 변론석에 서서 소송수행자(소송대리인)의 신분을 알리고 주장사실을 진술하거나 재판장의 질의에 답변하는 것이 중요합니다."
변론 중에 유의해야 할 점은 무엇인지 알려줘,,"론 중에는 새로운 주장이나 확실하지 않은 내용에 대해서는 즉답을 피하고, 준비서면으로 추후 제출하겠다거나 다음 변론기일에서 주장할 것임을 나타내는 것이 좋습니다. 또한 소 취하 동의나 사후검토 등에 대한 의견을 묻는 경우에도 즉답을 피하며, 판사의 질문과 상대방의 주장을 자세히 파악하여 메모하는 것이 도움이 됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
변론 중에 유의해야 할 점은 무엇인지 알려줘
### Response:
론 중에는 새로운 주장이나 확실하지 않은 내용에 대해서는 즉답을 피하고, 준비서면으로 추후 제출하겠다거나 다음 변론기일에서 주장할 것임을 나타내는 것이 좋습니다. 또한 소 취하 동의나 사후검토 등에 대한 의견을 묻는 경우에도 즉답을 피하며, 판사의 질문과 상대방의 주장을 자세히 파악하여 메모하는 것이 도움이 됩니다."
쌍불취하란 무엇인지 알려줘,,쌍불취하는 양쪽 당사자가 변론기일(변론준비기일 포함)에 2회 불출석하거나 출석하여도 변론하지 않고 1월 내에 기일지정신청을 하지 않는 경우에 소의 취하로 간주되는 상황을 말합니다. 이 경우 피고가 동의하면 처리될 수 있습니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
쌍불취하란 무엇인지 알려줘
### Response:
쌍불취하는 양쪽 당사자가 변론기일(변론준비기일 포함)에 2회 불출석하거나 출석하여도 변론하지 않고 1월 내에 기일지정신청을 하지 않는 경우에 소의 취하로 간주되는 상황을 말합니다. 이 경우 피고가 동의하면 처리될 수 있습니다."
변론 기일에서 판사의 질문이나 상대방의 주장에 대응할 때 어떤 점을 유의해야 하는지 알려줘,,변론 기일에서는 판사의 질문이나 상대방의 주장을 정확히 이해하고 대응할 필요가 있습니다. 이를 위해 재판진행 상황을 자세히 파악하고 필요할 경우 메모를 작성하는 것이 좋습니다.,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
변론 기일에서 판사의 질문이나 상대방의 주장에 대응할 때 어떤 점을 유의해야 하는지 알려줘
### Response:
변론 기일에서는 판사의 질문이나 상대방의 주장을 정확히 이해하고 대응할 필요가 있습니다. 이를 위해 재판진행 상황을 자세히 파악하고 필요할 경우 메모를 작성하는 것이 좋습니다."
소송의 종료란 무엇을 의미하는지 알려줘,,"소송의 종료는 소제기로 시작된 소송이 법원의 종국판결, 소취하 등으로 인해 더 이상 다툴 수 없는 상태로 이르게 되는 것을 말합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소송의 종료란 무엇을 의미하는지 알려줘
### Response:
소송의 종료는 소제기로 시작된 소송이 법원의 종국판결, 소취하 등으로 인해 더 이상 다툴 수 없는 상태로 이르게 되는 것을 말합니다."
소송의 종료에 어떤 종류가 있는지 알려줘,,"소송의 종료에는 판결선고, 소취하, 화해 및 조정, 청구의 포기, 인락, 이행권고결정이 포함됩니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소송의 종료에 어떤 종류가 있는지 알려줘
### Response:
소송의 종료에는 판결선고, 소취하, 화해 및 조정, 청구의 포기, 인락, 이행권고결정이 포함됩니다."
판결선고란 어떤 경우에 발생하는지 알려줘,,"판결선고는 승소한 경우와 패소한 경우에 발생합니다. 승소한 경우에는 판결선고기일에 참석하여 결과를 청취하고 판결문 정본을 송달받은 후에 소송진행상황보고를 해야하며, 패소한 경우에는 판결문을 받은 후 항소 여부를 결정하고 항소보고를 해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
판결선고란 어떤 경우에 발생하는지 알려줘
### Response:
판결선고는 승소한 경우와 패소한 경우에 발생합니다. 승소한 경우에는 판결선고기일에 참석하여 결과를 청취하고 판결문 정본을 송달받은 후에 소송진행상황보고를 해야하며, 패소한 경우에는 판결문을 받은 후 항소 여부를 결정하고 항소보고를 해야 합니다."
소 취하란 무엇인지 알려줘,,"소 취하는 원고가 제기한 소의 전부 또는 일부를 철회하는 소송행위를 말합니다. 피고의 동의를 얻어야 하며, 소취하부동의서를 기한 내에 제출해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
소 취하란 무엇인지 알려줘
### Response:
소 취하는 원고가 제기한 소의 전부 또는 일부를 철회하는 소송행위를 말합니다. 피고의 동의를 얻어야 하며, 소취하부동의서를 기한 내에 제출해야 합니다."
화해 및 조정이란 무엇인가요?,,"화해는 당사자 간의 주장을 서로 양보하여 소송을 종료시키는 행위를 말하며, 소송상 화해는 법원이 화해권고결정을 할 수 있습니다. 조정은 당사자 간 분쟁을 화해로 이끄는 절차를 말하며, 임의조정과 강제조정이 있습니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
화해 및 조정이란 무엇인가요?
### Response:
화해는 당사자 간의 주장을 서로 양보하여 소송을 종료시키는 행위를 말하며, 소송상 화해는 법원이 화해권고결정을 할 수 있습니다. 조정은 당사자 간 분쟁을 화해로 이끄는 절차를 말하며, 임의조정과 강제조정이 있습니다."
청구의 포기와 인락은 어떤 의미인지 알려줘,,"청구의 포기는 원고가 스스로 본인의 청구가 이유없음을 인정하는 의사표시를 말하며, 인락은 변론기일에서 피고가 원고의 청구가 이유있다고 인정하는 의사표시를 말합니다. 이러한 의사표시는 판결이 확정되는 효과를 가지므로 주의가 필요합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
청구의 포기와 인락은 어떤 의미인지 알려줘
### Response:
청구의 포기는 원고가 스스로 본인의 청구가 이유없음을 인정하는 의사표시를 말하며, 인락은 변론기일에서 피고가 원고의 청구가 이유있다고 인정하는 의사표시를 말합니다. 이러한 의사표시는 판결이 확정되는 효과를 가지므로 주의가 필요합니다."
이행권고결정이란 무엇인지 알려줘,,"이행권고결정은 소액사건에서 원고의 청구 취지에 따라 이행을 권고하는 법원의 결정을 말하며, 확정되면 확정판결과 동일한 효력을 갖습니다. 이의제기는 이행권고결정문을 송달받은 날로부터 2주일 이내에 해야 합니다.","Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
이행권고결정이란 무엇인지 알려줘
### Response:
이행권고결정은 소액사건에서 원고의 청구 취지에 따라 이행을 권고하는 법원의 결정을 말하며, 확정되면 확정판결과 동일한 효력을 갖습니다. 이의제기는 이행권고결정문을 송달받은 날로부터 2주일 이내에 해야 합니다."
